comment,name,type
案件ID,project_id,varchar(36)
ユーザーID,user_id,varchar(256)
レポート年月,report_date,varchar(6)
集計日時,aggregation_datetime,timestamp
締め期間From年月日,deadline_from_date,date
締め期間To年月日,deadline_to_date,date
WindowsユーザーID,windows_user_id,varchar(32)
ADユーザーID,ad_user_id,varchar(256)
検索ラベル1,search_label_1,varchar(64)
検索ラベル2,search_label_2,varchar(64)
紙削減枚数(ESG),eco_reduced_sheets_esg,integer
論理ページ数,print_monitor_print_logical_page,integer
物理ページ抑制数,print_monitor_print_physical_page_saved,integer
ペーパーレスプリント,print_monitor_print_paperless,integer
削減率,reduction_rate,double precision
プリント枚数抑制率,print_sheets_suppression_rate,double precision
プリント電子化率,print_digitization_rate,double precision
オフィス内順位,ranking_in_office,integer
オフィス内順位（前回）,last_ranking_in_office,integer
オフィス内順位変動,up_down_trend_in_office,varchar(32)
全社順位,ranking_in_all,integer
全社順位（前回）,last_ranking_in_all,integer
全社順位変動,up_down_trend_in_all,varchar(32)
作成日時,create_time,timestamp
更新日時,update_time,timestamp
